time,temperature_2m_max,temperature_2m_mean,temperature_2m_min,dew_point_2m_max,dew_point_2m_mean,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_mean,relative_humidity_2m_min,surface_pressure_max,surface_pressure_mean,surface_pressure_min,wind_speed_10m_max,wind_speed_10m_mean,wind_speed_10m_min,precipitation_sum
2006-05-24,28.4,26.3,24.9,24.3,23.8,23.1,92,86,78,1013.7,1011.7,1009.2,15.1,8.4,1.4,5.8
2006-05-25,27.5,26.1,24.6,24.5,23.8,23.3,94,87,81,1013.9,1011.1,1009.1,11.0,7.7,4.8,4.0
2006-05-26,29.3,26.8,25.2,24.5,23.9,23.5,91,84,75,1012.7,1010.8,1009.2,13.0,9.0,5.9,3.8
2006-05-27,27.6,26.2,24.4,24.8,23.9,23.3,95,87,81,1014.4,1012.0,1010.1,15.4,9.3,5.6,7.8
2006-05-28,27.4,26.1,25.3,24.4,23.9,23.5,92,88,84,1014.6,1012.4,1010.8,18.2,9.1,1.9,10.3
2006-05-29,28.9,26.6,24.5,24.5,23.9,23.6,95,85,77,1013.7,1012.0,1009.8,11.5,7.0,0.7,3.8
2006-05-30,28.0,26.2,24.3,25.1,24.1,23.5,96,89,84,1013.3,1011.5,1010.2,10.2,6.7,1.9,7.8
2006-05-31,29.4,26.7,24.6,24.0,23.7,23.3,95,84,71,1011.9,1010.6,1009.0,9.8,6.7,1.8,0.0
2006-06-01,29.6,27.3,25.2,24.7,24.2,23.8,92,84,73,1012.9,1011.0,1009.2,12.0,7.6,4.4,1.2
2006-06-02,28.5,26.8,25.2,24.9,24.5,24.0,94,87,81,1013.0,1010.5,1008.1,14.3,10.4,5.1,14.9
2006-06-03,28.5,26.6,24.4,24.7,24.1,23.6,95,86,77,1011.8,1009.9,1007.5,13.8,7.5,1.8,6.2
2006-06-04,29.1,27.0,25.3,24.6,24.1,23.7,94,85,75,1011.8,1009.8,1008.3,13.0,7.6,2.1,2.8
2006-06-05,28.6,26.6,25.3,24.7,24.0,23.6,92,86,76,1011.8,1010.2,1008.9,12.1,8.5,3.0,6.2
2006-06-06,29.4,27.3,25.3,24.4,24.2,23.9,94,83,73,1012.1,1010.2,1008.2,10.6,7.0,0.5,1.7
2006-06-07,29.6,27.3,25.8,25.2,24.4,24.0,91,84,77,1011.1,1009.7,1007.9,11.8,8.3,4.3,1.8
2006-06-08,27.5,25.7,24.1,24.6,23.7,23.1,96,89,79,1011.5,1009.4,1007.5,14.1,7.2,1.0,18.5
2006-06-09,28.7,26.0,23.8,24.1,23.7,22.8,95,87,75,1011.2,1009.4,1007.9,12.2,7.4,2.8,10.8
2006-06-10,29.1,26.2,24.2,24.2,23.7,23.2,96,86,74,1011.3,1009.3,1007.4,12.9,6.1,1.4,11.9
2006-06-11,26.6,25.5,24.0,24.5,23.5,22.9,95,89,81,1012.7,1011.0,1009.2,13.4,7.2,2.3,20.8
2006-06-12,29.4,27.0,24.8,24.9,24.2,23.6,95,85,75,1012.4,1011.0,1009.5,12.1,7.1,3.7,2.1
2006-06-13,29.3,27.2,25.2,24.7,24.0,23.4,92,83,76,1012.6,1010.8,1008.6,11.5,8.7,5.2,1.1
2006-06-14,28.6,26.6,25.3,24.5,24.1,23.7,93,86,77,1011.3,1009.9,1008.2,14.1,10.9,6.4,4.7
2006-06-15,26.5,25.6,25.0,24.2,23.8,23.4,93,90,86,1012.6,1010.9,1009.7,11.7,7.4,1.3,15.0
2006-06-16,26.0,25.1,23.9,23.7,23.2,22.6,96,89,84,1014.0,1012.0,1009.9,19.2,10.5,3.3,14.1
2006-06-17,27.5,25.4,24.3,23.9,23.3,22.9,93,88,79,1013.7,1012.4,1010.6,23.9,13.3,3.5,12.8
2006-06-18,27.0,25.0,23.8,24.0,23.2,22.8,94,90,83,1014.4,1012.5,1011.0,13.2,8.7,3.4,18.3
2006-06-19,27.7,25.7,24.4,24.0,23.5,22.9,94,88,79,1013.7,1012.0,1010.7,8.9,6.7,3.5,3.8
2006-06-20,26.3,25.0,24.1,23.6,23.1,22.6,94,89,82,1014.4,1012.2,1010.7,13.8,7.3,1.1,13.9
2006-06-21,28.6,25.8,23.7,24.2,23.3,22.9,95,86,77,1013.5,1011.6,1010.0,14.2,8.5,3.6,3.3
2006-06-22,28.8,26.4,24.3,24.3,23.6,23.1,94,85,76,1013.2,1011.4,1010.1,12.4,8.6,3.8,1.7
2006-06-23,29.4,26.8,24.3,24.7,23.8,23.4,95,84,73,1014.1,1011.8,1009.8,9.3,6.3,2.2,1.1
2006-06-24,29.1,26.5,24.5,25.3,24.2,23.5,95,87,80,1013.4,1011.3,1010.1,12.4,6.8,2.4,6.0
2006-06-25,29.5,26.7,24.5,24.6,23.9,23.6,96,85,74,1013.2,1011.6,1010.7,16.6,11.3,8.0,4.4
2006-06-26,28.3,26.7,25.1,24.1,23.8,23.2,93,84,77,1014.5,1012.6,1011.4,19.9,16.9,12.8,5.0
2006-06-27,27.4,26.0,24.5,24.3,23.4,22.8,93,86,79,1016.1,1013.9,1012.3,15.6,11.8,7.3,2.6
2006-06-28,28.4,26.5,24.6,24.8,23.9,23.4,93,86,80,1014.9,1013.1,1011.1,17.4,11.3,6.2,0.6
2006-06-29,25.8,25.2,24.7,24.0,23.5,22.7,95,90,87,1014.6,1012.7,1010.9,18.6,12.8,7.9,53.1
2006-06-30,25.9,24.9,24.0,24.1,23.3,22.8,95,91,86,1014.9,1013.0,1011.7,13.9,11.4,8.5,14.9
2006-07-01,27.8,25.7,24.1,24.3,23.3,22.8,95,87,77,1015.6,1013.6,1011.9,14.2,10.1,5.6,6.8
2006-07-02,27.2,26.0,24.9,24.1,23.2,22.6,88,85,82,1015.1,1013.3,1011.6,17.4,13.0,8.7,6.6
2006-07-03,27.2,25.6,24.6,24.3,23.4,22.9,93,88,80,1015.2,1013.1,1011.5,19.0,12.3,2.6,11.9
2006-07-04,27.4,25.7,24.5,23.8,23.2,22.8,92,86,79,1014.2,1012.9,1011.0,18.1,13.9,8.8,9.0
2006-07-05,26.9,25.2,24.4,24.0,23.2,22.7,93,89,83,1015.8,1013.6,1012.4,22.7,16.8,12.8,10.1
2006-07-06,26.3,25.0,24.2,22.9,22.5,22.2,89,86,80,1016.1,1014.7,1013.4,19.4,15.5,13.2,6.2
2006-07-07,27.8,25.5,24.2,23.8,22.9,22.1,91,86,78,1015.9,1013.6,1011.7,18.8,14.8,11.3,6.8
2006-07-08,26.4,25.4,24.8,23.2,22.8,22.3,90,86,78,1014.8,1013.2,1011.9,17.4,15.6,13.7,0.9
2006-07-09,27.0,25.2,24.1,23.8,23.1,22.6,92,88,81,1015.5,1013.3,1011.9,16.4,13.5,9.2,2.2
2006-07-10,27.4,25.5,24.1,24.0,23.2,22.9,94,87,80,1015.2,1013.3,1011.4,16.4,11.4,7.6,4.7
2006-07-11,27.4,25.4,23.9,23.7,23.0,22.5,93,87,77,1014.8,1013.0,1011.4,15.4,11.8,8.3,3.0
2006-07-12,27.1,25.1,23.8,23.5,23.0,22.4,94,88,80,1014.0,1012.1,1010.3,15.3,12.2,8.4,10.3
2006-07-13,27.6,25.3,24.0,24.1,23.1,22.8,93,88,81,1012.4,1010.9,1009.1,16.7,11.4,7.8,5.1
2006-07-14,25.4,24.4,23.5,23.7,23.0,22.5,94,92,88,1012.7,1011.2,1010.5,19.5,13.7,9.6,43.0
